Word,Aussage,Meinung,Prognose,Sonstiges
,7.840607370045516e-05,5.7539562945629334e-05,5.75375130610617e-06,-0.0001416994098431552
Und,0.0032575844200033294,0.0028345273862132453,0.002858577195028237,-0.008950687550178305
was,0.003018080517371874,0.008116048210113434,0.0021097114405638205,-0.013243839308214827
liegt,0.07565117819672981,0.0024519962187847144,-0.0009704041096133947,-0.07713276899843236
von,0.024284249900895113,0.0010418097332295362,0.00034896739158999014,-0.025675027407954295
Ihnen,-0.03861096981830734,0.035629453777302235,0.004774932128127304,-0.0017934159712669358
vor,0.02701165298684439,0.0006973333657712112,0.0003547563182847842,-0.028063742122243013
?,-0.04634423567543894,-0.024450414694347347,-0.005711715593710131,0.07650636466017263
Wo,-0.024362759686956174,-0.005522895854551451,-0.0013171251682975301,0.031202777094185546
soll,0.027556511331701672,0.021268770669901467,-0.000300450184973569,-0.04852483020848243
denn,-0.026655363147912264,-0.00046201000224125433,-0.0018486879875713534,0.02896606209049701
das,0.01755344621429748,0.006349117859125939,0.004752639840884731,-0.02865520402618742
geschehen,0.08932870202209718,0.0035777599441155863,0.06360869949505152,-0.15651515896007637
Wollen,-0.0017232287216095508,-0.0010050953957364652,-0.0006905497408214698,0.003418867222287438
Sie,-0.00844272540432907,0.004284203966883492,0.0009855356263927858,0.003172986254682962
dann,0.008276246398771508,0.0004918570772758743,0.005703046057592782,-0.014471148404412448
sagen,0.03227553850750668,-0.001319388410091178,0.0009955338756975887,-0.031951683246646705
:,0.012822168354264484,-0.008653911729053089,-0.0016306539187004895,-0.002537602841273802
Versch,0.010825236518099147,-0.0004073394123266175,0.0007714802421171311,-0.01118937397367756
iebt,-0.001203997805760082,-0.0004016002480966563,-0.0002943237775525631,0.00189991295337677
euren,-0.019787891326814133,0.016282656191833667,-0.0006806053551144942,0.004185839697584015
Urlaub,0.007616414776628266,-0.0009363537837120377,-0.0007684370837273371,-0.005911626721422301
Es,0.02107572562587176,0.011902283539955386,0.011718218377503618,-0.04469622592984933
spielt,0.08569555654966686,-0.0016195878016581561,-4.878075140586168e-06,-0.08407108831168296
wieder,0.017970461673742034,0.0062276747409078185,0.0121850516474838,-0.036383186600894644
in,0.021177143657885752,0.0018082812443932683,0.0031015397845538346,-0.026086964801770505
Berlin,0.009993187653402335,-0.00027041198260783627,0.0012232666653732179,-0.010946041144038613
",",0.01722149351129226,0.003626431200080665,0.0016272631647740534,-0.022475187812679598
es,0.014991295786181772,0.011501263168836576,0.010170629113069034,-0.03666318791945924
wird,-0.07713014023550079,-0.04423686531197177,0.23286758657885184,-0.11150058158967163
viele,0.04093623367219404,0.0011144617095633735,0.003729557475437568,-0.04578025426663107
Leichen,0.028207114737546765,-0.014497639533626157,0.0016564556404311647,-0.015365931560186183
geben,-0.027114665528537734,0.021735225917868434,0.05174422347224517,-0.04636478466147043
